Nom,Position,Durée,Genre,Latéralité,Set,Système,Coup,Type de service,Type Coup TK,Zone de jeu
BOLL Timo (236),13:32.6,00:00.7,,Revers,SET,,Serveur Point -,,Controle / Résistance,M3
FLORE Tristan (239),13:35.8,00:02.0,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (237),13:38.4,00:01.0,,Revers,SET,,Serveur Point +,,Attaque / Offensif,M1
FLORE Tristan (240),13:41.5,00:02.2,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (238),13:44.4,00:00.5,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (241),13:44.9,00:00.7,,Coup droit,SET,,FLORE Tristan,,Poussette,D1
BOLL Timo (239),13:45.5,00:00.7,,Revers,SET,,BOLL Timo,,Controle / Résistance,M1
FLORE Tristan (242),13:46.2,00:01.0,,Revers,SET,,FLORE Tristan,,Controle / Résistance,G3
BOLL Timo (240),13:47.2,00:00.4,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M2
FLORE Tristan (243),13:47.6,00:00.7,,Coup droit,SET,,FLORE Tristan,,Controle / Résistance,D3
BOLL Timo (241),13:48.3,00:00.4,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M3
FLORE Tristan (244),13:48.7,00:00.0,,Revers,SET,,Serveur Point +,,Controle / Résistance,G3
BOLL Timo (242),13:52.1,00:00.8,,Coup droit,SET,,BOLL Timo,Latéral gauche,,
FLORE Tristan (245),13:53.3,00:00.7,,Revers,SET,,FLORE Tristan,,Poussette,G3
BOLL Timo (243),13:54.0,00:00.4,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M2
FLORE Tristan (246),13:54.4,00:00.5,,Revers,SET,,FLORE Tristan,,Attaque / Offensif,G3
BOLL Timo (244),13:54.9,00:02.0,,Revers,SET,,Serveur Point +,,Attaque / Offensif,D3
BOLL Timo (245),13:58.1,00:01.0,,Coup droit,SET,,BOLL Timo,Latéral droit,,
FLORE Tristan (247),13:59.4,00:00.4,,Coup droit,SET,,FLORE Tristan,,Attaque / Offensif,D3
BOLL Timo (246),13:59.8,00:00.1,,Coup droit,SET,,Serveur Point -,,Attaque / Offensif,M3
FLORE Tristan (248),14:02.6,00:02.5,,Revers,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (247),14:05.6,00:00.6,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (249),14:06.2,00:01.1,,Coup droit,SET,,Serveur Point -,,Attaque / Offensif,D3
FLORE Tristan (250),14:09.4,00:03.1,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (248),14:12.5,00:00.5,,Revers,SET,,BOLL Timo,,Attaque / Offensif,G1
FLORE Tristan (251),14:13.0,00:00.3,,Revers,SET,,FLORE Tristan,,Attaque / Offensif,G3
BOLL Timo (249),14:13.3,00:00.5,,Revers,SET,,Serveur Point +,,Attaque / Offensif,D3
BOLL Timo (250),14:17.1,00:01.1,,Coup droit,SET,,BOLL Timo,Latéral droit,,
FLORE Tristan (252),14:18.7,00:00.6,,Coup droit,SET,,FLORE Tristan,,Poussette,D1
BOLL Timo (251),14:19.3,00:00.5,,Revers,SET,,BOLL Timo,,Attaque / Offensif,M2
FLORE Tristan (253),14:19.8,00:00.4,,Coup droit,SET,,Serveur Point +,,Attaque / Offensif,D3
BOLL Timo (252),14:23.4,00:00.7,,Coup droit,SET,,BOLL Timo,Latéral droit,,
BOLL Timo (253),14:31.8,00:00.5,,Coup droit,SET,,BOLL Timo,Latéral droit,,
FLORE Tristan (254),14:33.2,00:00.6,,Revers,SET,,FLORE Tristan,,Attaque / Offensif,G2
BOLL Timo (254),14:33.7,00:00.5,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M3
FLORE Tristan (255),14:34.3,00:00.7,,Coup droit,SET,,Serveur Point +,,Attaque / Offensif,M3
FLORE Tristan (256),14:37.2,00:02.4,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
FLORE Tristan (257),14:47.6,00:02.4,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (255),14:50.6,00:00.3,,Coup droit,SET,,BOLL Timo,,Attaque / Offensif,M2
FLORE Tristan (258),14:50.9,00:00.3,,Revers,SET,,Serveur Point -,,Controle / Résistance,G3
FLORE Tristan (259),14:54.8,00:02.2,,Coup droit,SET,,FLORE Tristan,Latéral droit,,
BOLL Timo (256),14:57.5,00:00.6,,Coup droit,SET,,BOLL Timo,,Poussette,M1
FLORE Tristan (260),14:58.2,00:00.5,,Coup droit,SET,,FLORE Tristan,,Controle / Résistance,D3
BOLL Timo (257),14:58.7,00:01.2,,Revers,SET,,Serveur Point +,,Controle / Résistance,M3
